简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
1799,赵婷,女,36,18936312588,jieyuan833@gmail.com,云计算工程师,本科,普通高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Ansible,Terraform","熟练,精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,0,9,2,通过
1800,郭勇,男,31,18137843548,yonglong626@qq.com,算法工程师,本科,普通高校,非计算机类,英语四级,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,9,0,0,通过
1801,张丽,女,26,13114374815,taozou3@126.com,数据分析师,本科,普通高校,计算机类,无,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","掌握,掌握",NULL,NULL,NULL,NULL,3―5年,1―3年,NULL,15,8,0,不通过
1802,蔡洁,女,21,17786130747,jinghe7@gmail.com,测试工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,熟练,了解,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
1803,刘文,男,22,17636968727,yanqin75@outlook.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,精通,了解,掌握,掌握",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","精通,掌握,精通,熟练,了解","MySQL,PostgreSQL","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,不通过
1804,黄柳,女,23,18578262975,weixue8796@gmail.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","精通,熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,掌握,熟练,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","掌握,精通,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,通过
1805,印帅,男,36,17749322906,jingxie@outlook.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,SQL,Go","掌握,熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,2,4,0,不通过
1806,罗宇,男,22,15595774875,jingye85@outlook.com,算法工程师,专科,普通高校,计算机类,无,"Python,Java","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch","掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,12,0,0,通过
1807,张婷,女,21,18513121000,jielin2074@hotmail.com,移动开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","掌握,精通",NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1808,张想,男,23,13307691549,xiulanyi1@126.com,数据工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,Hadoop/Spark,精通,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,通过
1809,王洋,男,40,15144835183,qiangyi72@gmail.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,Go","掌握,熟练,精通",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,掌握,掌握,精通,精通","MySQL,MongoDB","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,12,1,0,通过
1810,江玲,女,21,17744833377,mincai72@hotmail.com,前端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,精通,掌握,了解,了解","HTML/CSS,React/Vue,Webpack,TypeScript","熟练,熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1811,童淑珍,女,25,15003691891,jingyang95@yahoo.com,数据分析师,专科,普通高校,非计算机类,无,"Java,SQL","掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,精通,掌握",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,5,8,1,通过
1812,毛晨,男,22,18069509601,jingzhang217@yahoo.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","了解,掌握,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,不通过
1813,魏婷,女,21,13687596029,minghan94@126.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,SQL,Go","熟练,熟练,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","精通,熟练,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1814,何龙,男,21,18967237410,yonghao276@outlook.com,测试工程师,专科,普通高校,非计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,掌握,掌握",NULL,NULL,NULL,0,0,0,不通过
1815,柳秀梅,女,36,18134472932,chaozhu608@163.com,数据工程师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL,Go","熟练,掌握,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,6,1,0,不通过
1816,何东,男,31,15309790073,mingliao2897@outlook.com,算法工程师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","掌握,精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,掌握,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,13,3,2,通过
1817,马利,男,21,15106751218,xiazhang4384@outlook.com,数据分析师,专科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,了解,熟练,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,了解,精通,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1818,刘旭,男,35,15116611110,xiulanyu8@qq.com,全栈开发工程师,专科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","熟练,熟练,熟练,掌握","HTML/CSS,React/Vue,Webpack","掌握,精通,掌握","Spring Boot,Django/Flask","掌握,掌握","MySQL,PostgreSQL,MongoDB,Redis","掌握,精通,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,15,0,2,通过
1819,张洋,男,22,18411648414,jiemo@126.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,JavaScript,Go","掌握,熟练,熟练","HTML/CSS,React/Vue","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1820,丁英,女,30,18935292731,licui3@163.com,数据分析师,本科,普通高校,计算机类,英语四级,"Java,SQL","熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,掌握,了解",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,熟练,精通",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,11,9,0,通过
1821,牛杨,男,39,13289881167,mingqin@gmail.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Java,JavaScript","掌握,熟练","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,0,9,0,通过
1822,吴彬,男,23,15649317508,mingxia1@qq.com,全栈开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,掌握,掌握,了解","HTML/CSS,React/Vue","熟练,精通","Spring Boot,Django/Flask,RESTful API,Node.js","掌握,掌握,熟练,精通",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,不通过
1823,王想,男,22,18029699781,jingma3327@qq.com,数据分析师,专科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL","精通,了解,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,精通,掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,不通过
1824,毛健,男,23,18947663128,guiyinglai06@hotmail.com,后端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,Go","掌握,精通,熟练,精通",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","熟练,熟练,掌握,精通","MySQL,MongoDB,Redis","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,通过
1825,黄楠,男,21,17660520046,yangxiong@126.com,云计算工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript","精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,掌握,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1826,彭宁,男,23,15611059267,yonghou291@hotmail.com,移动开发工程师,本科,普通高校,非计算机类,英语四级,"Python,SQL,Go","掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","掌握,熟练",NULL,NULL,1―3年,NULL,NULL,8,0,0,不通过
1827,方颖,女,37,18119605288,naliao5@yahoo.com,算法工程师,本科,普通高校,计算机类,英语四级,"Python,JavaScript,SQL,Go","精通,了解,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,了解,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,4,5,0,不通过
1828,林丽,女,27,18687238561,chaoding2@hotmail.com,测试工程师,本科,211高校,计算机类,英语六级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,掌握,熟练",5年以上,3―5年,NULL,1,7,0,通过
1829,高建平,男,21,13885738643,leiding@hotmail.com,云计算工程师,专科,普通高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1830,申亮,男,22,13197908373,guiyingshen@hotmail.com,算法工程师,本科,普通高校,非计算机类,英语四级,"Python,Java","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch","掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1831,刘秀华,女,21,18916376325,xiawu619@outlook.com,测试工程师,专科,普通高校,计算机类,无,"Java,JavaScript,Go","掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,掌握,熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
1832,熊淑华,女,26,18687938381,xiuyingxiong@hotmail.com,算法工程师,本科,211高校,非计算机类,英语四级,"Java,JavaScript,SQL,Go","熟练,了解,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","了解,精通,掌握,了解",NULL,NULL,NULL,NULL,3―5年,NULL,NULL,15,8,2,不通过
1833,吴建,男,27,15396461915,nahuang@hotmail.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,熟练,掌握,了解,了解","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,熟练,掌握,掌握","Spring Boot,Django/Flask,RESTful API","精通,掌握,掌握",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,NULL,1,1,0,通过
1834,韦淑,女,23,15138532758,mingcui559@gmail.com,云计算工程师,专科,普通高校,非计算机类,无,"Python,Java","精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,熟练,了解,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,1年以下,NULL,3,3,0,通过
1835,刘龙,男,23,15523989085,chaoma257@yahoo.com,云计算工程师,本科,普通高校,计算机类,英语四级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,掌握,掌握,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,13,0,0,不通过
1836,钟婷婷,女,27,13319771680,minxiong@126.com,后端开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","精通,熟练,熟练,了解,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Kafka/RabbitMQ","精通,掌握,掌握,熟练","PostgreSQL,Redis","了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,0,0,2,通过
1837,戴玉,女,21,13168956670,weiren2882@qq.com,算法工程师,专科,普通高校,计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark","了解,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1838,吴帆,男,23,17777457085,xiuyinglei3@gmail.com,数据工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,精通,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,精通,了解",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,通过
1839,李楠,男,33,18603175234,xiulanma7@126.com,移动开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","了解,熟练,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,掌握",NULL,NULL,5年以上,3―5年,3―5年,13,1,0,不通过
1840,潘利,男,22,13393443363,pingzhou3@163.com,运维工程师,本科,211高校,非计算机类,无,"Python,SQL","精通,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Ansible,Terraform","熟练,掌握,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1841,杨淑珍,女,23,18795047729,lizhou@gmail.com,运维工程师,本科,211高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,了解,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,熟练,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,通过
1842,徐兰英,女,23,13594680040,chaowan@163.com,数据分析师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","了解,熟练,了解,掌握,精通",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","掌握,熟练,掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,精通,了解,精通",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
1843,崔华,男,22,18772504598,juanhuang359@gmail.com,算法工程师,本科,211高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","精通,掌握,掌握,了解,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1844,朱彬,男,21,17694060891,ganggu1@outlook.com,测试工程师,专科,普通高校,计算机类,英语四级,"Java,Go","掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter","熟练,熟练",NULL,NULL,NULL,0,0,0,不通过
1845,李超,男,21,18012622761,juanding106@163.com,后端开发工程师,专科,普通高校,计算机类,无,"Python,Java","精通,熟练",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,熟练,熟练,精通,精通","MySQL,PostgreSQL,Redis","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
1846,张伟,男,32,18135244827,yanzou7@gmail.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,掌握,了解,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,1,2,1,通过
1847,杨飞,男,28,18936952424,jingjiang@hotmail.com,测试工程师,本科,普通高校,计算机类,英语四级,Java,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","熟练,掌握,掌握",5年以上,3―5年,NULL,1,0,0,通过
1848,王丽,女,25,13651272525,xiuyingxu4@hotmail.com,前端开发工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,精通,掌握","HTML/CSS,React/Vue,TypeScript","熟练,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,11,0,0,通过
1849,朱鹏,男,22,13563873720,guiyingzhu64@hotmail.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,Go","熟练,掌握,熟练,熟练","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","掌握,熟练,掌握,熟练,熟练","Spring Boot,Django/Flask","掌握,熟练",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
1850,陈桂兰,女,22,15888911758,taowan@qq.com,前端开发工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,熟练,熟练,掌握,掌握","HTML/CSS,React/Vue","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1851,李浩,男,32,13818630990,chaosong576@hotmail.com,测试工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript","精通,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","精通,了解,熟练,掌握",5年以上,3―5年,NULL,7,3,0,通过
1852,黎东,男,22,15304522277,jingqin4875@outlook.com,全栈开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript,SQL,Go","熟练,精通,熟练,精通","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","精通,熟练,掌握,熟练,熟练","Spring Boot,Django/Flask,RESTful API,Node.js","熟练,精通,精通,熟练",MongoDB,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,通过
1853,黄华,男,23,18092101597,juanyan393@qq.com,前端开发工程师,本科,普通高校,非计算机类,英语六级,"Java,JavaScript,SQL","掌握,精通,掌握","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","掌握,精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,通过
1854,蔡艳,女,34,18359967016,pingzeng4@qq.com,数据分析师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL,Go","熟练,了解,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","熟练,掌握,精通",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,熟练,熟练",NULL,NULL,NULL,NULL,5年以上,NULL,NULL,8,1,0,不通过
1855,温秀梅,女,34,13156870586,guiyingfan47@hotmail.com,前端开发工程师,本科,211高校,计算机类,英语四级,"Python,JavaScript,SQL","熟练,精通,掌握","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","熟练,掌握,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,4,0,0,通过
1856,范宇,男,22,13574832497,gangsun3273@hotmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,SQL","精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,通过
1857,张红梅,女,22,15240469131,minlu1150@qq.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,熟练,熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","掌握,掌握,熟练",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1858,冯帆,男,22,18540851555,yanfu520@hotmail.com,全栈开发工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL","精通,了解,熟练,掌握","HTML/CSS,React/Vue,TypeScript,Redux/Vuex","掌握,精通,熟练,精通","Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,熟练,熟练",Redis,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,通过
1859,胡超,男,22,18576911157,liliao6235@gmail.com,运维工程师,专科,普通高校,非计算机类,无,"Python,Java,SQL,Go","精通,精通,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","了解,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,11,0,0,通过
1860,李刚,男,21,13357294001,xiuyingqiao5@163.com,算法工程师,专科,普通高校,计算机类,无,"Python,SQL,Go","精通,熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1861,苏凤兰,女,22,13502883540,pingxue2975@qq.com,测试工程师,本科,普通高校,计算机类,无,"Python,Java,SQL,Go","掌握,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,掌握,掌握,熟练",NULL,NULL,NULL,0,0,0,不通过
1862,邱东,男,22,17612010017,taoqian83@qq.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,Go","了解,精通,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","掌握,熟练,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1863,陈桂,女,23,15617856148,juanlu58@126.com,后端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,精通,掌握,精通,掌握",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练","MySQL,Redis","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,通过
1864,李志强,男,26,13002923425,yongwan2@qq.com,数据分析师,本科,普通高校,非计算机类,英语四级,"Python,SQL","掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB","精通,熟练,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,熟练,熟练,熟练",NULL,NULL,NULL,NULL,3―5年,NULL,NULL,13,0,1,通过
1865,孙杨,男,40,17666180563,jieguo76@outlook.com,运维工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,Go","精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,3―5年,2,3,2,通过
1866,曹凯,男,33,18937151251,mingmeng@163.com,移动开发工程师,本科,普通高校,计算机类,英语六级,"Java,JavaScript,SQL","掌握,精通,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","精通,熟练",NULL,NULL,5年以上,NULL,5年以上,4,2,0,通过
1867,陶秀,女,22,18391033099,minhao99@qq.com,前端开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript","掌握,熟练,掌握","HTML/CSS,React/Vue,TypeScript","熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
1868,冯桂芳,女,23,13853311796,junjin45@126.com,前端开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript","掌握,掌握,熟练","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,15,0,0,不通过
